1682490127.931256 server started (70581): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682490127.931276 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1682490127.931283 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1682490127.931441 input_key_build: 0x10e003 (PasteStart) is \033[200~
1682490127.931451 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1682490127.931503 input_key_build: 0x10e195 (F1) is \033OP
1682490127.931511 input_key_build: 0x10e196 (F2) is \033OQ
1682490127.931515 input_key_build: 0x10e197 (F3) is \033OR
1682490127.931519 input_key_build: 0x10e198 (F4) is \033OS
1682490127.931522 input_key_build: 0x10e199 (F5) is \033[15~
1682490127.931526 input_key_build: 0x10e19a (F6) is \033[17~
1682490127.931529 input_key_build: 0x10e19b (F7) is \033[18~
1682490127.931533 input_key_build: 0x10e19c (F8) is \033[19~
1682490127.931536 input_key_build: 0x10e19d (F9) is \033[20~
1682490127.931539 input_key_build: 0x10e19e (F10) is \033[21~
1682490127.931543 input_key_build: 0x10e19f (F11) is \033[23~
1682490127.931546 input_key_build: 0x10e1a0 (F12) is \033[24~
1682490127.931550 input_key_build: 0x10e1a1 (IC) is \033[2~
1682490127.931553 input_key_build: 0x10e1a2 (DC) is \033[3~
1682490127.931556 input_key_build: 0x10e1a3 (Home) is \033[1~
1682490127.931560 input_key_build: 0x10e1a4 (End) is \033[4~
1682490127.931563 input_key_build: 0x10e1a5 (NPage) is \033[6~
1682490127.931567 input_key_build: 0x10e1a6 (PPage) is \033[5~
1682490127.931570 input_key_build: 0x10e1a7 (BTab) is \033[Z
1682490127.931573 input_key_build: 0x10e1a8 (Up) is \033[A
1682490127.931577 input_key_build: 0x10e1a9 (Down) is \033[B
1682490127.931580 input_key_build: 0x10e1aa (Left) is \033[D
1682490127.931583 input_key_build: 0x10e1ab (Right) is \033[C
1682490127.931587 input_key_build: 0x10e1ac (KP/) is /
1682490127.931590 input_key_build: 0x10e1ad (KP*) is *
1682490127.931594 input_key_build: 0x10e1ae (KP-) is -
1682490127.931597 input_key_build: 0x10e1af (KP7) is 7
1682490127.931601 input_key_build: 0x10e1b0 (KP8) is 8
1682490127.931604 input_key_build: 0x10e1b1 (KP9) is 9
1682490127.931607 input_key_build: 0x10e1b2 (KP+) is +
1682490127.931611 input_key_build: 0x10e1b3 (KP4) is 4
1682490127.931614 input_key_build: 0x10e1b4 (KP5) is 5
1682490127.931617 input_key_build: 0x10e1b5 (KP6) is 6
1682490127.931620 input_key_build: 0x10e1b6 (KP1) is 1
1682490127.931624 input_key_build: 0x10e1b7 (KP2) is 2
1682490127.931627 input_key_build: 0x10e1b8 (KP3) is 3
1682490127.931630 input_key_build: 0x10e1b9 (KPEnter) is \n
1682490127.931634 input_key_build: 0x10e1ba (KP0) is 0
1682490127.931637 input_key_build: 0x10e1bb (KP.) is .
1682490127.931641 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1682490127.931644 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1682490127.931648 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1682490127.931651 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1682490127.931655 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1682490127.931658 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1682490127.931661 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1682490127.931665 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1682490127.931668 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1682490127.931672 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1682490127.931675 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1682490127.931679 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1682490127.931682 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1682490127.931685 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1682490127.931689 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1682490127.931692 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1682490127.931696 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1682490127.931699 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1682490127.931702 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1682490127.931713 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1682490127.931715 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1682490127.931718 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1682490127.931720 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
